Id,SL,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SL square
1,5,3.5,1.4,0.2,Iris-setosa,25
2,4,3.0,1.4,0.2,Iris-setosa,16
3,4,3.2,1.3,0.2,Iris-setosa,16
4,4,3.1,1.5,0.2,Iris-setosa,16
5,5,3.6,1.4,0.2,Iris-setosa,25
6,5,3.9,1.7,0.4,Iris-setosa,25
7,4,3.4,1.4,0.3,Iris-setosa,16
8,5,3.4,1.5,0.2,Iris-setosa,25
9,4,2.9,1.4,0.2,Iris-setosa,16
10,4,3.1,1.5,0.1,Iris-setosa,16
11,5,3.7,1.5,0.2,Iris-setosa,25
12,4,3.4,1.6,0.2,Iris-setosa,16
13,4,3.0,1.4,0.1,Iris-setosa,16
14,4,3.0,1.1,0.1,Iris-setosa,16
15,5,4.0,1.2,0.2,Iris-setosa,25
16,5,4.4,1.5,0.4,Iris-setosa,25
17,5,3.9,1.3,0.4,Iris-setosa,25
18,5,3.5,1.4,0.3,Iris-setosa,25
19,5,3.8,1.7,0.3,Iris-setosa,25
20,5,3.8,1.5,0.3,Iris-setosa,25
21,5,3.4,1.7,0.2,Iris-setosa,25
22,5,3.7,1.5,0.4,Iris-setosa,25
23,4,3.6,1.0,0.2,Iris-setosa,16
24,5,3.3,1.7,0.5,Iris-setosa,25
25,4,3.4,1.9,0.2,Iris-setosa,16
26,5,3.0,1.6,0.2,Iris-setosa,25
27,5,3.4,1.6,0.4,Iris-setosa,25
28,5,3.5,1.5,0.2,Iris-setosa,25
29,5,3.4,1.4,0.2,Iris-setosa,25
30,4,3.2,1.6,0.2,Iris-setosa,16
31,4,3.1,1.6,0.2,Iris-setosa,16
32,5,3.4,1.5,0.4,Iris-setosa,25
33,5,4.1,1.5,0.1,Iris-setosa,25
34,5,4.2,1.4,0.2,Iris-setosa,25
35,4,3.1,1.5,0.1,Iris-setosa,16
36,5,3.2,1.2,0.2,Iris-setosa,25
37,5,3.5,1.3,0.2,Iris-setosa,25
38,4,3.1,1.5,0.1,Iris-setosa,16
39,4,3.0,1.3,0.2,Iris-setosa,16
40,5,3.4,1.5,0.2,Iris-setosa,25
41,5,3.5,1.3,0.3,Iris-setosa,25
42,4,2.3,1.3,0.3,Iris-setosa,16
43,4,3.2,1.3,0.2,Iris-setosa,16
44,5,3.5,1.6,0.6,Iris-setosa,25
45,5,3.8,1.9,0.4,Iris-setosa,25
46,4,3.0,1.4,0.3,Iris-setosa,16
47,5,3.8,1.6,0.2,Iris-setosa,25
48,4,3.2,1.4,0.2,Iris-setosa,16
49,5,3.7,1.5,0.2,Iris-setosa,25
50,5,3.3,1.4,0.2,Iris-setosa,25
51,7,3.2,4.7,1.4,Iris-versicolor,49
52,6,3.2,4.5,1.5,Iris-versicolor,36
53,6,3.1,4.9,1.5,Iris-versicolor,36
54,5,2.3,4.0,1.3,Iris-versicolor,25
55,6,2.8,4.6,1.5,Iris-versicolor,36
56,5,2.8,4.5,1.3,Iris-versicolor,25
57,6,3.3,4.7,1.6,Iris-versicolor,36
58,4,2.4,3.3,1.0,Iris-versicolor,16
59,6,2.9,4.6,1.3,Iris-versicolor,36
60,5,2.7,3.9,1.4,Iris-versicolor,25
61,5,2.0,3.5,1.0,Iris-versicolor,25
62,5,3.0,4.2,1.5,Iris-versicolor,25
63,6,2.2,4.0,1.0,Iris-versicolor,36
64,6,2.9,4.7,1.4,Iris-versicolor,36
65,5,2.9,3.6,1.3,Iris-versicolor,25
66,6,3.1,4.4,1.4,Iris-versicolor,36
67,5,3.0,4.5,1.5,Iris-versicolor,25
68,5,2.7,4.1,1.0,Iris-versicolor,25
69,6,2.2,4.5,1.5,Iris-versicolor,36
70,5,2.5,3.9,1.1,Iris-versicolor,25
71,5,3.2,4.8,1.8,Iris-versicolor,25
72,6,2.8,4.0,1.3,Iris-versicolor,36
73,6,2.5,4.9,1.5,Iris-versicolor,36
74,6,2.8,4.7,1.2,Iris-versicolor,36
75,6,2.9,4.3,1.3,Iris-versicolor,36
76,6,3.0,4.4,1.4,Iris-versicolor,36
77,6,2.8,4.8,1.4,Iris-versicolor,36
78,6,3.0,5.0,1.7,Iris-versicolor,36
79,6,2.9,4.5,1.5,Iris-versicolor,36
80,5,2.6,3.5,1.0,Iris-versicolor,25
81,5,2.4,3.8,1.1,Iris-versicolor,25
82,5,2.4,3.7,1.0,Iris-versicolor,25
83,5,2.7,3.9,1.2,Iris-versicolor,25
84,6,2.7,5.1,1.6,Iris-versicolor,36
85,5,3.0,4.5,1.5,Iris-versicolor,25
86,6,3.4,4.5,1.6,Iris-versicolor,36
87,6,3.1,4.7,1.5,Iris-versicolor,36
88,6,2.3,4.4,1.3,Iris-versicolor,36
89,5,3.0,4.1,1.3,Iris-versicolor,25
